"PERKEMBANGAN PESERTA DIDIK",371.0,"Ilmu-ilmu sosial",KB-134070
"English for economic education",425.0,Bahasa,KB-868707
"Monograph digitalization on english language education : literacy and competence",370.0,"Ilmu-ilmu sosial",KB-796056
"Monograf digitalisasi dalam pendidikan bahasa inggris : literasi dan kompetensi",370.0,"Ilmu-ilmu sosial",KB-585863
"Ilmu administrasi dan analisis kebijakan publik konseptual dan praktik",352.0,"Ilmu-ilmu sosial",KB-389905
"Negara pancasila dalam persepsi mayoritas islam",297.0,Agama,KB-234388
"Mmebangun masyarakat peduli lingkungan",363.0,"Ilmu-ilmu sosial",KB-227525
"Ekonomi kelembagaan (dinamika ekonomi berbasis sumber daya lokal )",330.0,"Ilmu-ilmu sosial",KB-321858
"Kebijakan hukum pidana dalam pembrantasan tradisi omerta tindak pidana korupsi di Indonesia",345.0,"Ilmu-ilmu sosial",KB-638987
"Pembaharuan hukum terkait kebebasan berpendapat dalam bermedia sosial di Indonesia",340.0,"Ilmu-ilmu sosial",KB-989893
"Mudah belajar desain printed board cirtcuit (PCB)",621.0,"Ilmu-ilmu terapan",KB-352045
"Evaluasi kebijakan pemerintah daerah dalam mewujudkan ketahanan pangan di indonesia",338.0,"Ilmu-ilmu sosial",KB-186486
"Monograf : kinerja pengguna cloud accounting",657.0,"Ilmu-ilmu terapan",KB-036569
"Politik luar negeri indonesia pro rakyat",327.0,"Ilmu-ilmu sosial",KB-570367
"Modul parenting peer education (PEE)",649.0,"Ilmu-ilmu terapan",KB-736649
"Struktur aljabar",512.0,"Ilmu-ilmu murni",KB-287524
"Sel kultur",570.0,"Ilmu-ilmu murni",KB-066973
"Panduan praktis penulisan resep bagi dokter",615.0,"Ilmu-ilmu terapan",KB-351816
"Hukum pidana korporasi dan sistematisasi penegakannya secara integral",345.0,"Ilmu-ilmu sosial",KB-867593
"Konstruksi perencanaan partisipatif",300.0,"Ilmu-ilmu sosial",KB-743698
"Teori ilmu kealaman dasr kajian untuk mahasiswa pendidikan guru dan akademis",500.0,"Ilmu-ilmu murni",KB-795176
"Kimia dasar mahasiswa milenial",540.0,"Ilmu-ilmu murni",KB-831098
"Pandemic effect (hikmah & kisah para pejuang pendidikan di masa pandemi)",370.0,"Ilmu-ilmu sosial",KB-684016
"Monograf rencana pembangunan industri daerah",339.0,"Ilmu-ilmu sosial",KB-064696
"Buku referensi bakteri filosfer",579.0,"Ilmu-ilmu murni",KB-197831
"Pidana dan pemidanaan dalam tindak pidana perdagangan orang",345.0,"Ilmu-ilmu sosial",KB-452337
"Mengenal covid-19 dalam kehamilan, persalinan dan masa menyusui",616.0,"Ilmu-ilmu terapan",KB-686038
"Buku referensi mengukur usability perangkat lunak",5.0,"Karya umum",KB-718563
"Pembangunan daerah : tinjauan model konseptual pembangunan berkelanjutan",300.0,"Ilmu-ilmu sosial",KB-913948
"Hukum tata negara sistem presidensial RI",342.0,"Ilmu-ilmu sosial",KB-848530
"Rahasia sukses bisnis modern",658.0,"Ilmu-ilmu terapan",KB-180245
